Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
 3 Aug 19,N/A,"""Maid of Heaven""-Sir John Everett Millais",28453874,Art Board Print,United States,United States,LA,pending,1,16.46,12.96,3.50
28 Jul 19,30 Jul 19,"Frida Kahlo - Self Portrait with Thorn Necklace and Hummingbird, 1940",28337702,Premium T-Shirt,United States,United States,MD,to be paid,1,28.89,22.60,6.29
25 Jul 19,26 Jul 19,Painting of a Rich Woman - Memeified,28305073,Poster,United Kingdom,Germany,NW,to be paid,1,12.27,9.83,2.44
25 Jul 19,26 Jul 19,Queen Esther - Edwin Long(1879),28299671,Poster,United Kingdom,Germany,BE,to be paid,1,12.27,9.83,2.44
23 Jul 19,25 Jul 19,Queen Gunivere&#39;s Maying - John Collier,28271468,Greeting Card,United Kingdom,United Kingdom,ENGLAND,to be paid,1,3.00,2.40,0.60
19 Jul 19,20 Jul 19,Three Girls - Amrita Sher-Gil,28207247,Photographic Print,United States,United States,CA,to be paid,1,34.14,26.89,7.25
19 Jul 19,22 Jul 19,Jean Benner - Salome,28206940,Art Print,United States,United States,OR,to be paid,1,31.42,24.17,7.25
14 Jul 19,15 Jul 19,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,28127078,iPhone Case,United States,United States,IL,to be paid,1,28.77,22.52,6.25
13 Jul 19,15 Jul 19,"""Joan of Arc""- Albert Lynch",28106375,iPhone Case,United States,United States,OK,paid,1,29.38,23.13,6.25
11 Jul 19,15 Jul 19,"Frida Kahlo - Self Portrait with Thorn Necklace and Hummingbird, 1940",28071675,Photographic Print,United Kingdom,United Kingdom,ENGLAND,paid,1,33.88,27.10,6.78
 6 Jul 19, 9 Jul 19,Solome - Titian,27992697,Premium T-Shirt,United States,United States,NY,paid,1,32.75,25.76,6.99
 6 Jul 19, 9 Jul 19,Artemisia Gentileschi- &quot;Judith Slaying Holofernes&quot;,27992697,Premium T-Shirt,United States,United States,NY,paid,1,32.75,25.76,6.99
 3 Jul 19, 8 Jul 19,"""Portrait of the Duchess Le Salle"" - Tamara de Lempicka",27960057,Photographic Print,United Kingdom,Germany,NW,paid,1,10.22,8.18,2.04
 3 Jul 19, 3 Jul 19,Saint Empress Theodora Enthroned-Jean Joseph Benjamin-Constant,27950496,Wall Tapestry,United States,United States,FL,paid,1,27.30,25.75,1.55
 2 Jul 19, 3 Jul 19,Jean Benner - Salome,27938933,Sticker,United Kingdom,Germany,HH,paid,1,2.58,1.82,0.76
26 Jun 19,26 Jun 19,Saint Cecilia glass,27848158,Poster,United States,United States,IL,paid,1,14.22,11.13,3.09
26 Jun 19,26 Jun 19,Saint Cecilia Stained Glass Organ,27848158,Art Print,United States,United States,IL,paid,1,23.02,18.02,5.00
20 Jun 19,21 Jun 19,Queen Black,27760924,Relaxed Fit T-Shirt,United States,United States,OH,paid,1,23.78,18.29,5.49
20 Jun 19,21 Jun 19,Queen Nzinga of Ndongo and Matamba- Killer of Portugese,27760924,Fitted Scoop T-Shirt,United States,United States,OH,paid,1,23.78,18.29,5.49
20 Jun 19,21 Jun 19,Queen Nzinga of Ndongo and Matamba- Killer of Portugese,27760924,Chiffon Top,United States,United States,OH,paid,1,30.28,23.29,6.99
20 Jun 19,21 Jun 19,Queen Black,27760924,Chiffon Top,United States,United States,OH,paid,1,30.28,23.29,6.99
13 Jun 19,N/A,"Frida Kahlo - Self Portrait with Thorn Necklace and Hummingbird, 1940",27658416,Photographic Print,Check our help center @ https://help.redbubble.com/hc/en/articles/217196086,United States,MA,cancelled,1,5.37,4.13,1.24
12 Jun 19,14 Jun 19,Woman Combing hair - memeified,27643390,T-Shirt,United States,United States,NY,paid,1,20.14,15.84,4.30
11 Jun 19,17 Jun 19,Jean Benner - Salome,27624418,Greeting Card,Australia,Australia,WA,paid,1,1.32,1.03,0.29
 9 Jun 19,11 Jun 19,St. Cecilia - Nicole Poussin,27591503,Tote Bag,United States,Canada,AB,paid,1,18.76,14.43,4.33
 5 Jun 19, 7 Jun 19,Ukiyo-e Strange Nekos(Cats),27539055,Art Print,United Kingdom,Israel,JERUSALEM,paid,1,19.87,15.28,4.59
 3 Jun 19, 6 Jun 19,"George Henry Boughton (1833-1905), The vision at the martyr’s well",27505010,Spiral Notebook,United Kingdom,United Kingdom,Derbyshire,paid,1,9.02,8.59,0.43
 3 Jun 19, 5 Jun 19,"George Henry Boughton (1833-1905), The vision at the martyr’s well",27505010,Greeting Card,United Kingdom,United Kingdom,Derbyshire,paid,1,1.33,1.07,0.26
 3 Jun 19, 5 Jun 19,Girl with a Golden Crown,27505010,Greeting Card,United Kingdom,United Kingdom,Derbyshire,paid,1,1.33,1.07,0.26
 1 Jun 19, 4 Jun 19,"Frida Kahlo - Self Portrait with Thorn Necklace and Hummingbird, 1940",27465999,Poster,Netherlands,Germany,NI,paid,1,17.80,14.26,3.54
 1 Jun 19, 5 Jun 19,Japanese Cherry Blossoms Ukiyo-e,27463986,T-Shirt,Netherlands,Germany,none,paid,1,21.41,17.15,4.26
26 May 19,28 May 19,Jean Benner - Salome,27371081,Poster,United States,United States,AR,paid,1,17.86,13.74,4.12
25 May 19,28 May 19,"""Joan of Arc""- Albert Lynch",27365328,iPhone Case,United States,United States,CA,paid,1,28.25,22.25,6.00
24 May 19,27 May 19,"Isolde - Gaston Bussiere (French, 1862-1929)",27352724,Photographic Print,United States,United States,CA,paid,1,34.14,26.89,7.25
