Order Date,Ship Date,Work,Order #,Product,Fulfilment Country,Destination Country,Destination State,Status,Quantity,Retail Price (USD),Manufacturing Price (USD),Artist Margin (USD)
31 Mar 21, 1 Apr 21,Three Girls - Amrita Sher-Gil,45065861,Poster,United States,United States,NY,paid,1,31.44,14.38,17.06
30 Mar 21,30 Mar 21,The Child Enthroned - Thomas Cooper Gotch,45043911,Greeting Card,United States,United States,MI,paid,3,16.32,6.88,9.44
29 Mar 21,31 Mar 21,Portrait of a Young Woman - Jean-Etienne Liotard,45025910,Sticker,United States,United States,CA,paid,1,2.55,1.76,0.79
28 Mar 21,30 Mar 21,Brahmacharis - Amrita Sher-gil,45006092,Poster,Netherlands,Belgium,WALLONIA,paid,1,57.57,26.39,31.18
27 Mar 21,29 Mar 21,Lake Biwa - Koho Shoda,44977004,Poster,United States,United States,OH,paid,1,66.75,30.10,36.65
25 Mar 21,26 Mar 21,Toussaint Louverture - Girardin,44939731,Greeting Card,United States,United States,NY,paid,1,5.57,2.42,3.15
24 Mar 21,29 Mar 21,St. Catherine of Alexandria - Vicente Carducho,44921634,Tote Bag,Germany,France,IDF,paid,1,21.89,15.56,6.33
24 Mar 21,29 Mar 21,St. Catherine of Alexandria - Vicente Carducho,44921634,Scarf,United Kingdom,France,IDF,paid,1,25.48,18.62,6.86
24 Mar 21,25 Mar 21,Lake Biwa - Koho Shoda,44909221,Poster,Netherlands,Germany,TH,paid,1,23.03,10.55,12.48
24 Mar 21,24 Mar 21,"The Flower Market, Cape Town - Irma Stern",44904808,Art Board Print,Netherlands,Germany,SN,paid,1,47.93,16.53,31.40
22 Mar 21,26 Mar 21,Hygeia- Goddess of Health,44864928,Greeting Card,Australia,Australia,VIC,paid,1,2.64,1.17,1.47
20 Mar 21,23 Mar 21,Woman cutting off a man's head,44817775,Spiral Notebook,United States,United States,KY,paid,1,16.03,10.27,5.76
20 Mar 21,21 Mar 21,Julie D’Aubigny - Jean Braud,44804328,Canvas Mounted Print,Australia,Australia,WA,paid,1,51.57,35.26,16.31
19 Mar 21,22 Mar 21,Judith and Her Servant - Artemisia Gentileschi,44783216,Greeting Card,United Kingdom,France,none,paid,1,3.03,1.17,1.86
